uf_ibge;Periodo;Quantidade de novas concessoes
25;02/2020;127
25;01/2020;116
25;12/2019;120
25;11/2019;176
25;10/2019;187
25;09/2019;118
25;08/2019;185
25;07/2019;75
25;06/2019;64
25;05/2019;6.199
25;04/2019;4.775
25;03/2019;5.262
25;02/2019;4.897
25;01/2019;5.326
25;12/2018;15.077
25;11/2018;7.376
25;10/2018;5.821
25;09/2018;7.212
25;08/2018;4.819
25;07/2018;5.749
25;06/2018;7.853
25;05/2018;6.758
25;04/2018;6.493
25;03/2018;4.875
25;02/2018;5.779
25;01/2018;5.533
25;12/2017;5.353
25;11/2017;9.169
25;10/2017;6.089
25;09/2017;5.725
25;08/2017;23.469
25;07/2017;1.646
25;06/2017;240
25;05/2017;72
25;04/2017;313
25;03/2017;28
25;02/2017;3.521
25;01/2017;17.574
25;12/2016;6.647
25;11/2016;909
25;10/2016;1.054
25;09/2016;16.636
25;08/2016;223
25;07/2016;2.117
25;06/2016;137
25;05/2016;171
25;04/2016;2.568
25;03/2016;10.402
25;02/2016;44
25;01/2016;23.227
25;12/2015;3.386
25;11/2015;11.501
25;10/2015;13.978
25;09/2015;4.376
25;08/2015;163
25;07/2015;37
25;06/2015;262
25;05/2015;35
25;04/2015;777
25;03/2015;40
25;02/2015;177
25;01/2015;25
25;12/2014;46
25;11/2014;369
25;10/2014;20
25;09/2014;96
25;08/2014;119
25;07/2014;18.855
25;06/2014;6.620
25;05/2014;2.672
25;04/2014;5.385
25;03/2014;10.228
25;02/2014;3.364
25;01/2014;2.004
