uf_ibge;Periodo;Quantidade de novas concessoes
51;02/2020;108
51;01/2020;3.753
51;12/2019;106
51;11/2019;146
51;10/2019;157
51;09/2019;137
51;08/2019;281
51;07/2019;92
51;06/2019;85
51;05/2019;4.084
51;04/2019;3.598
51;03/2019;3.297
51;02/2019;2.718
51;01/2019;3.039
51;12/2018;10.027
51;11/2018;4.461
51;10/2018;3.379
51;09/2018;4.944
51;08/2018;3.319
51;07/2018;4.117
51;06/2018;4.997
51;05/2018;3.780
51;04/2018;4.166
51;03/2018;2.898
51;02/2018;3.215
51;01/2018;3.152
51;12/2017;2.595
51;11/2017;5.021
51;10/2017;3.721
51;09/2017;3.620
51;08/2017;11.671
51;07/2017;3.941
51;06/2017;1.028
51;05/2017;563
51;04/2017;2.364
51;03/2017;32
51;02/2017;1.860
51;01/2017;5.392
51;12/2016;4.349
51;11/2016;1.523
51;10/2016;2.129
51;09/2016;8.475
51;08/2016;498
51;07/2016;4.903
51;06/2016;815
51;05/2016;112
51;04/2016;2.267
51;03/2016;3.687
51;02/2016;187
51;01/2016;6.752
51;12/2015;1.390
51;11/2015;3.944
51;10/2015;11.110
51;09/2015;5.131
51;08/2015;497
51;07/2015;1.026
51;06/2015;1.062
51;05/2015;27
51;04/2015;3.593
51;03/2015;47
51;02/2015;153
51;01/2015;24
51;12/2014;246
51;11/2014;1.115
51;10/2014;12
51;09/2014;153
51;08/2014;146
51;07/2014;4.812
51;06/2014;2.520
51;05/2014;2.411
51;04/2014;2.899
51;03/2014;5.001
51;02/2014;3.427
51;01/2014;1.043
