uf_ibge;Periodo;Quantidade de novas concessoes
43;02/2020;212
43;01/2020;11.886
43;12/2019;261
43;11/2019;305
43;10/2019;325
43;09/2019;246
43;08/2019;412
43;07/2019;123
43;06/2019;78
43;05/2019;9.696
43;04/2019;7.966
43;03/2019;7.371
43;02/2019;6.836
43;01/2019;8.964
43;12/2018;22.496
43;11/2018;10.944
43;10/2018;7.879
43;09/2018;9.330
43;08/2018;7.587
43;07/2018;9.090
43;06/2018;11.776
43;05/2018;9.586
43;04/2018;9.613
43;03/2018;7.449
43;02/2018;10.498
43;01/2018;9.356
43;12/2017;8.632
43;11/2017;12.718
43;10/2017;7.708
43;09/2017;8.384
43;08/2017;21.063
43;07/2017;7.934
43;06/2017;4.629
43;05/2017;1.770
43;04/2017;5.354
43;03/2017;36
43;02/2017;4.712
43;01/2017;6.671
43;12/2016;10.210
43;11/2016;4.097
43;10/2016;6.824
43;09/2016;21.337
43;08/2016;1.978
43;07/2016;11.359
43;06/2016;2.994
43;05/2016;102
43;04/2016;5.389
43;03/2016;7.897
43;02/2016;1.207
43;01/2016;14.512
43;12/2015;3.552
43;11/2015;11.127
43;10/2015;22.997
43;09/2015;15.187
43;08/2015;1.818
43;07/2015;4.219
43;06/2015;4.294
43;05/2015;15
43;04/2015;12.743
43;03/2015;75
43;02/2015;125
43;01/2015;12
43;12/2014;701
43;11/2014;3.873
43;10/2014;11
43;09/2014;67
43;08/2014;46
43;07/2014;13.392
43;06/2014;5.219
43;05/2014;5.912
43;04/2014;6.533
43;03/2014;11.751
43;02/2014;8.248
43;01/2014;3.948
