uf_ibge;Periodo;Quantidade de novas concessoes
32;02/2020;70
32;01/2020;2.560
32;12/2019;97
32;11/2019;87
32;10/2019;86
32;09/2019;76
32;08/2019;100
32;07/2019;45
32;06/2019;32
32;05/2019;4.888
32;04/2019;4.356
32;03/2019;4.062
32;02/2019;3.562
32;01/2019;3.700
32;12/2018;8.980
32;11/2018;6.360
32;10/2018;4.375
32;09/2018;3.995
32;08/2018;3.697
32;07/2018;5.528
32;06/2018;6.366
32;05/2018;4.546
32;04/2018;4.893
32;03/2018;3.382
32;02/2018;5.258
32;01/2018;4.693
32;12/2017;3.786
32;11/2017;6.126
32;10/2017;3.724
32;09/2017;3.687
32;08/2017;8.306
32;07/2017;3.543
32;06/2017;2.564
32;05/2017;821
32;04/2017;2.527
32;03/2017;15
32;02/2017;2.175
32;01/2017;3.177
32;12/2016;4.665
32;11/2016;2.139
32;10/2016;3.199
32;09/2016;9.151
32;08/2016;798
32;07/2016;7.722
32;06/2016;1.309
32;05/2016;29
32;04/2016;3.099
32;03/2016;2.315
32;02/2016;576
32;01/2016;4.248
32;12/2015;2.168
32;11/2015;3.710
32;10/2015;9.924
32;09/2015;11.307
32;08/2015;757
32;07/2015;3.571
32;06/2015;1.330
32;05/2015;14
32;04/2015;6.584
32;03/2015;40
32;02/2015;24
32;01/2015;7
32;12/2014;599
32;11/2014;1.541
32;10/2014;5
32;09/2014;31
32;08/2014;52
32;07/2014;2.631
32;06/2014;2.579
32;05/2014;2.835
32;04/2014;2.854
32;03/2014;4.614
32;02/2014;3.239
32;01/2014;1.696
