uf_ibge;Periodo;Quantidade de novas concessoes
23;02/2020;134
23;01/2020;516
23;12/2019;193
23;11/2019;191
23;10/2019;192
23;09/2019;165
23;08/2019;292
23;07/2019;85
23;06/2019;58
23;05/2019;13.777
23;04/2019;12.134
23;03/2019;11.603
23;02/2019;8.995
23;01/2019;11.542
23;12/2018;30.585
23;11/2018;18.038
23;10/2018;13.129
23;09/2018;14.950
23;08/2018;11.090
23;07/2018;14.715
23;06/2018;18.304
23;05/2018;14.387
23;04/2018;15.419
23;03/2018;11.058
23;02/2018;13.999
23;01/2018;13.647
23;12/2017;12.441
23;11/2017;21.571
23;10/2017;14.734
23;09/2017;13.198
23;08/2017;52.276
23;07/2017;4.938
23;06/2017;2.146
23;05/2017;736
23;04/2017;3.068
23;03/2017;29
23;02/2017;6.737
23;01/2017;16.627
23;12/2016;23.320
23;11/2016;3.456
23;10/2016;4.850
23;09/2016;51.416
23;08/2016;197
23;07/2016;10.399
23;06/2016;282
23;05/2016;98
23;04/2016;10.500
23;03/2016;11.707
23;02/2016;746
23;01/2016;25.256
23;12/2015;7.921
23;11/2015;16.522
23;10/2015;64.157
23;09/2015;18.219
23;08/2015;464
23;07/2015;4.359
23;06/2015;1.158
23;05/2015;25
23;04/2015;1.155
23;03/2015;78
23;02/2015;91
23;01/2015;9
23;12/2014;51
23;11/2014;610
23;10/2014;14
23;09/2014;58
23;08/2014;44
23;07/2014;23.816
23;06/2014;9.944
23;05/2014;7.210
23;04/2014;9.731
23;03/2014;28.592
23;02/2014;20.615
23;01/2014;6.003
