uf_ibge;Periodo;Quantidade de novas concessoes
17;02/2020;50
17;01/2020;807
17;12/2019;66
17;11/2019;77
17;10/2019;61
17;09/2019;42
17;08/2019;85
17;07/2019;42
17;06/2019;39
17;05/2019;2.099
17;04/2019;1.976
17;03/2019;1.915
17;02/2019;1.389
17;01/2019;1.811
17;12/2018;4.803
17;11/2018;2.329
17;10/2018;1.940
17;09/2018;1.597
17;08/2018;1.723
17;07/2018;2.266
17;06/2018;2.718
17;05/2018;1.764
17;04/2018;2.385
17;03/2018;1.601
17;02/2018;2.015
17;01/2018;2.075
17;12/2017;1.605
17;11/2017;3.712
17;10/2017;1.878
17;09/2017;1.656
17;08/2017;7.106
17;07/2017;1.755
17;06/2017;448
17;05/2017;120
17;04/2017;666
17;03/2017;16
17;02/2017;1.180
17;01/2017;3.572
17;12/2016;3.172
17;11/2016;838
17;10/2016;796
17;09/2016;5.693
17;08/2016;86
17;07/2016;1.975
17;06/2016;145
17;05/2016;44
17;04/2016;1.558
17;03/2016;2.367
17;02/2016;115
17;01/2016;4.745
17;12/2015;1.048
17;11/2015;2.489
17;10/2015;7.157
17;09/2015;3.026
17;08/2015;187
17;07/2015;732
17;06/2015;518
17;05/2015;16
17;04/2015;924
17;03/2015;21
17;02/2015;62
17;01/2015;11
17;12/2014;86
17;11/2014;177
17;10/2014;2
17;09/2014;37
17;08/2014;57
17;07/2014;3.070
17;06/2014;2.023
17;05/2014;1.333
17;04/2014;1.817
17;03/2014;3.063
17;02/2014;2.404
17;01/2014;821
