uf_ibge;Periodo;Quantidade de novas concessoes
42;02/2020;92
42;01/2020;6.129
42;12/2019;156
42;11/2019;156
42;10/2019;158
42;09/2019;108
42;08/2019;165
42;07/2019;84
42;06/2019;77
42;05/2019;4.415
42;04/2019;3.773
42;03/2019;3.051
42;02/2019;2.114
42;01/2019;3.331
42;12/2018;9.104
42;11/2018;4.821
42;10/2018;3.596
42;09/2018;4.123
42;08/2018;3.556
42;07/2018;4.080
42;06/2018;4.540
42;05/2018;3.989
42;04/2018;3.998
42;03/2018;2.532
42;02/2018;2.686
42;01/2018;3.272
42;12/2017;2.795
42;11/2017;4.919
42;10/2017;3.227
42;09/2017;3.521
42;08/2017;7.245
42;07/2017;3.762
42;06/2017;2.510
42;05/2017;1.410
42;04/2017;3.293
42;03/2017;20
42;02/2017;1.485
42;01/2017;3.374
42;12/2016;3.539
42;11/2016;2.498
42;10/2016;3.712
42;09/2016;7.636
42;08/2016;1.656
42;07/2016;5.534
42;06/2016;3.302
42;05/2016;91
42;04/2016;2.626
42;03/2016;2.081
42;02/2016;608
42;01/2016;4.046
42;12/2015;1.953
42;11/2015;3.778
42;10/2015;5.365
42;09/2015;5.786
42;08/2015;1.189
42;07/2015;1.896
42;06/2015;2.969
42;05/2015;29
42;04/2015;10.067
42;03/2015;36
42;02/2015;36
42;01/2015;22
42;12/2014;883
42;11/2014;3.641
42;10/2014;12
42;09/2014;70
42;08/2014;207
42;07/2014;2.716
42;06/2014;2.098
42;05/2014;2.125
42;04/2014;2.390
42;03/2014;2.013
42;02/2014;1.520
42;01/2014;1.466
