uf_ibge;Periodo;Quantidade de novas concessoes
35;02/2020;533
35;01/2020;21.725
35;12/2019;738
35;11/2019;795
35;10/2019;774
35;09/2019;623
35;08/2019;1.081
35;07/2019;366
35;06/2019;271
35;05/2019;46.000
35;04/2019;38.363
35;03/2019;37.219
35;02/2019;32.853
35;01/2019;36.931
35;12/2018;101.200
35;11/2018;58.540
35;10/2018;40.764
35;09/2018;45.044
35;08/2018;35.412
35;07/2018;43.638
35;06/2018;55.305
35;05/2018;40.745
35;04/2018;48.439
35;03/2018;34.193
35;02/2018;48.079
35;01/2018;37.246
35;12/2017;34.620
35;11/2017;70.348
35;10/2017;37.641
35;09/2017;36.761
35;08/2017;157.075
35;07/2017;27.402
35;06/2017;11.043
35;05/2017;5.748
35;04/2017;26.548
35;03/2017;127
35;02/2017;25.578
35;01/2017;58.537
35;12/2016;44.475
35;11/2016;29.799
35;10/2016;39.179
35;09/2016;98.805
35;08/2016;4.922
35;07/2016;75.464
35;06/2016;17.305
35;05/2016;294
35;04/2016;35.628
35;03/2016;38.796
35;02/2016;5.195
35;01/2016;51.762
35;12/2015;20.342
35;11/2015;40.031
35;10/2015;57.780
35;09/2015;92.511
35;08/2015;5.814
35;07/2015;37.584
35;06/2015;17.706
35;05/2015;56
35;04/2015;122.387
35;03/2015;415
35;02/2015;49
35;01/2015;40
35;12/2014;29.370
35;11/2014;39.905
35;10/2014;25
35;09/2014;129
35;08/2014;187
35;07/2014;33.159
35;06/2014;21.765
35;05/2014;22.937
35;04/2014;31.907
35;03/2014;32.682
35;02/2014;21.180
35;01/2014;17.346
