uf_ibge;Periodo;Quantidade de novas concessoes
24;02/2020;109
24;01/2020;207
24;12/2019;140
24;11/2019;140
24;10/2019;124
24;09/2019;139
24;08/2019;203
24;07/2019;61
24;06/2019;78
24;05/2019;5.004
24;04/2019;3.553
24;03/2019;4.201
24;02/2019;3.692
24;01/2019;4.729
24;12/2018;10.637
24;11/2018;6.570
24;10/2018;4.762
24;09/2018;6.224
24;08/2018;4.046
24;07/2018;5.620
24;06/2018;7.087
24;05/2018;6.030
24;04/2018;6.018
24;03/2018;3.479
24;02/2018;4.653
24;01/2018;4.430
24;12/2017;4.005
24;11/2017;6.801
24;10/2017;4.555
24;09/2017;4.317
24;08/2017;17.166
24;07/2017;4.548
24;06/2017;146
24;05/2017;70
24;04/2017;689
24;03/2017;43
24;02/2017;2.342
24;01/2017;9.739
24;12/2016;5.635
24;11/2016;1.576
24;10/2016;2.147
24;09/2016;12.494
24;08/2016;164
24;07/2016;4.802
24;06/2016;80
24;05/2016;83
24;04/2016;2.354
24;03/2016;5.086
24;02/2016;48
24;01/2016;14.207
24;12/2015;2.217
24;11/2015;7.233
24;10/2015;11.487
24;09/2015;11.241
24;08/2015;55
24;07/2015;2.316
24;06/2015;137
24;05/2015;39
24;04/2015;523
24;03/2015;34
24;02/2015;29
24;01/2015;10
24;12/2014;27
24;11/2014;300
24;10/2014;18
24;09/2014;54
24;08/2014;72
24;07/2014;11.070
24;06/2014;4.113
24;05/2014;3.757
24;04/2014;3.032
24;03/2014;7.256
24;02/2014;2.998
24;01/2014;1.052
