uf_ibge;Periodo;Quantidade de novas concessoes
22;02/2020;48
22;01/2020;86
22;12/2019;103
22;11/2019;111
22;10/2019;86
22;09/2019;68
22;08/2019;126
22;07/2019;63
22;06/2019;45
22;05/2019;5.956
22;04/2019;4.807
22;03/2019;4.827
22;02/2019;3.911
22;01/2019;5.013
22;12/2018;12.620
22;11/2018;6.537
22;10/2018;4.737
22;09/2018;4.733
22;08/2018;4.018
22;07/2018;5.468
22;06/2018;7.941
22;05/2018;5.727
22;04/2018;6.613
22;03/2018;4.987
22;02/2018;5.832
22;01/2018;5.027
22;12/2017;4.294
22;11/2017;7.717
22;10/2017;5.088
22;09/2017;4.426
22;08/2017;20.604
22;07/2017;2.525
22;06/2017;264
22;05/2017;125
22;04/2017;215
22;03/2017;21
22;02/2017;2.527
22;01/2017;17.270
22;12/2016;4.078
22;11/2016;1.008
22;10/2016;1.985
22;09/2016;12.990
22;08/2016;127
22;07/2016;3.272
22;06/2016;58
22;05/2016;89
22;04/2016;2.526
22;03/2016;8.682
22;02/2016;58
22;01/2016;22.506
22;12/2015;1.781
22;11/2015;8.619
22;10/2015;13.721
22;09/2015;5.155
22;08/2015;197
22;07/2015;539
22;06/2015;872
22;05/2015;20
22;04/2015;418
22;03/2015;21
22;02/2015;184
22;01/2015;8
22;12/2014;25
22;11/2014;207
22;10/2014;10
22;09/2014;66
22;08/2014;52
22;07/2014;17.034
22;06/2014;5.278
22;05/2014;1.849
22;04/2014;5.767
22;03/2014;6.195
22;02/2014;3.655
22;01/2014;530
