uf_ibge;Periodo;Quantidade de novas concessoes
26;02/2020;382
26;01/2020;414
26;12/2019;451
26;11/2019;503
26;10/2019;428
26;09/2019;364
26;08/2019;691
26;07/2019;232
26;06/2019;211
26;05/2019;17.374
26;04/2019;13.078
26;03/2019;14.513
26;02/2019;12.618
26;01/2019;16.245
26;12/2018;38.836
26;11/2018;22.518
26;10/2018;15.591
26;09/2018;16.521
26;08/2018;11.502
26;07/2018;14.850
26;06/2018;20.503
26;05/2018;16.493
26;04/2018;16.418
26;03/2018;12.250
26;02/2018;15.142
26;01/2018;13.873
26;12/2017;13.379
26;11/2017;25.480
26;10/2017;17.667
26;09/2017;16.329
26;08/2017;62.654
26;07/2017;9.606
26;06/2017;1.184
26;05/2017;159
26;04/2017;2.975
26;03/2017;86
26;02/2017;8.374
26;01/2017;48.306
26;12/2016;14.789
26;11/2016;4.945
26;10/2016;6.821
26;09/2016;37.410
26;08/2016;471
26;07/2016;13.677
26;06/2016;256
26;05/2016;405
26;04/2016;8.240
26;03/2016;19.706
26;02/2016;250
26;01/2016;56.038
26;12/2015;6.211
26;11/2015;18.958
26;10/2015;33.320
26;09/2015;27.618
26;08/2015;870
26;07/2015;1.839
26;06/2015;1.488
26;05/2015;71
26;04/2015;3.953
26;03/2015;119
26;02/2015;593
26;01/2015;32
26;12/2014;111
26;11/2014;880
26;10/2014;42
26;09/2014;259
26;08/2014;279
26;07/2014;36.511
26;06/2014;12.542
26;05/2014;7.291
26;04/2014;12.560
26;03/2014;22.743
26;02/2014;14.948
26;01/2014;2.322
