uf_ibge;Periodo;Quantidade de novas concessoes
29;02/2020;550
29;01/2020;1.123
29;12/2019;649
29;11/2019;788
29;10/2019;687
29;09/2019;445
29;08/2019;960
29;07/2019;426
29;06/2019;299
29;05/2019;24.112
29;04/2019;20.153
29;03/2019;21.250
29;02/2019;17.736
29;01/2019;21.675
29;12/2018;58.408
29;11/2018;32.436
29;10/2018;21.708
29;09/2018;25.231
29;08/2018;15.164
29;07/2018;22.456
29;06/2018;33.841
29;05/2018;24.533
29;04/2018;25.437
29;03/2018;18.631
29;02/2018;29.240
29;01/2018;24.011
29;12/2017;21.757
29;11/2017;39.596
29;10/2017;25.506
29;09/2017;24.435
29;08/2017;106.842
29;07/2017;8.238
29;06/2017;1.926
29;05/2017;819
29;04/2017;2.410
29;03/2017;124
29;02/2017;12.264
29;01/2017;65.509
29;12/2016;22.814
29;11/2016;9.263
29;10/2016;10.067
29;09/2016;56.686
29;08/2016;698
29;07/2016;23.935
29;06/2016;770
29;05/2016;821
29;04/2016;13.752
29;03/2016;33.247
29;02/2016;600
29;01/2016;87.010
29;12/2015;12.064
29;11/2015;31.127
29;10/2015;47.757
29;09/2015;51.004
29;08/2015;1.339
29;07/2015;12.016
29;06/2015;2.917
29;05/2015;105
29;04/2015;18.463
29;03/2015;214
29;02/2015;1.248
29;01/2015;26
29;12/2014;148
29;11/2014;1.373
29;10/2014;40
29;09/2014;427
29;08/2014;397
29;07/2014;58.965
29;06/2014;21.709
29;05/2014;13.324
29;04/2014;20.982
29;03/2014;32.498
29;02/2014;13.317
29;01/2014;7.424
