uf_ibge;Periodo;Quantidade de novas concessoes
41;02/2020;163
41;01/2020;11.293
41;12/2019;286
41;11/2019;332
41;10/2019;277
41;09/2019;229
41;08/2019;367
41;07/2019;155
41;06/2019;138
41;05/2019;11.238
41;04/2019;9.600
41;03/2019;8.844
41;02/2019;6.774
41;01/2019;9.030
41;12/2018;23.845
41;11/2018;12.278
41;10/2018;9.747
41;09/2018;11.075
41;08/2018;9.022
41;07/2018;10.876
41;06/2018;12.347
41;05/2018;10.603
41;04/2018;11.238
41;03/2018;7.797
41;02/2018;8.751
41;01/2018;9.528
41;12/2017;8.057
41;11/2017;14.037
41;10/2017;9.186
41;09/2017;9.199
41;08/2017;25.141
41;07/2017;9.689
41;06/2017;5.144
41;05/2017;3.028
41;04/2017;7.802
41;03/2017;70
41;02/2017;4.886
41;01/2017;12.903
41;12/2016;11.244
41;11/2016;5.411
41;10/2016;7.240
41;09/2016;26.175
41;08/2016;2.068
41;07/2016;14.751
41;06/2016;5.036
41;05/2016;135
41;04/2016;7.361
41;03/2016;7.505
41;02/2016;1.459
41;01/2016;12.794
41;12/2015;5.036
41;11/2015;10.656
41;10/2015;18.435
41;09/2015;19.271
41;08/2015;3.330
41;07/2015;6.078
41;06/2015;6.865
41;05/2015;64
41;04/2015;19.781
41;03/2015;85
41;02/2015;114
41;01/2015;45
41;12/2014;3.834
41;11/2014;3.409
41;10/2014;33
41;09/2014;143
41;08/2014;224
41;07/2014;6.724
41;06/2014;5.963
41;05/2014;5.938
41;04/2014;7.423
41;03/2014;8.727
41;02/2014;6.146
41;01/2014;4.076
