uf_ibge;Periodo;Quantidade de novas concessoes
11;02/2020;21
11;01/2020;4.785
11;12/2019;53
11;11/2019;42
11;10/2019;57
11;09/2019;35
11;08/2019;59
11;07/2019;25
11;06/2019;17
11;05/2019;1.647
11;04/2019;1.452
11;03/2019;1.373
11;02/2019;1.128
11;01/2019;1.258
11;12/2018;3.492
11;11/2018;2.004
11;10/2018;1.533
11;09/2018;2.011
11;08/2018;1.581
11;07/2018;2.095
11;06/2018;2.570
11;05/2018;1.697
11;04/2018;1.685
11;03/2018;1.206
11;02/2018;1.240
11;01/2018;1.432
11;12/2017;1.260
11;11/2017;2.300
11;10/2017;1.596
11;09/2017;1.454
11;08/2017;5.102
11;07/2017;911
11;06/2017;745
11;05/2017;414
11;04/2017;964
11;03/2017;5
11;02/2017;725
11;01/2017;1.621
11;12/2016;2.468
11;11/2016;725
11;10/2016;956
11;09/2016;4.965
11;08/2016;542
11;07/2016;1.494
11;06/2016;808
11;05/2016;26
11;04/2016;1.651
11;03/2016;1.184
11;02/2016;204
11;01/2016;2.990
11;12/2015;687
11;11/2015;2.768
11;10/2015;4.074
11;09/2015;2.112
11;08/2015;252
11;07/2015;408
11;06/2015;929
11;05/2015;6
11;04/2015;4.067
11;03/2015;24
11;02/2015;49
11;01/2015;8
11;12/2014;147
11;11/2014;344
11;10/2014;1
11;09/2014;35
11;08/2014;59
11;07/2014;4.790
11;06/2014;1.092
11;05/2014;1.330
11;04/2014;1.800
11;03/2014;2.404
11;02/2014;950
11;01/2014;622
