uf_ibge;Periodo;Quantidade de novas concessoes
13;02/2020;359
13;01/2020;469
13;12/2019;440
13;11/2019;346
13;10/2019;525
13;09/2019;479
13;08/2019;894
13;07/2019;180
13;06/2019;94
13;05/2019;6.900
13;04/2019;5.322
13;03/2019;4.966
13;02/2019;4.687
13;01/2019;5.484
13;12/2018;12.829
13;11/2018;8.249
13;10/2018;4.697
13;09/2018;5.696
13;08/2018;4.497
13;07/2018;7.154
13;06/2018;9.508
13;05/2018;8.149
13;04/2018;6.991
13;03/2018;5.408
13;02/2018;6.183
13;01/2018;5.367
13;12/2017;4.959
13;11/2017;9.226
13;10/2017;5.221
13;09/2017;4.764
13;08/2017;24.377
13;07/2017;533
13;06/2017;628
13;05/2017;107
13;04/2017;618
13;03/2017;46
13;02/2017;3.144
13;01/2017;18.410
13;12/2016;5.227
13;11/2016;4.783
13;10/2016;1.192
13;09/2016;11.441
13;08/2016;175
13;07/2016;10.163
13;06/2016;155
13;05/2016;501
13;04/2016;4.703
13;03/2016;10.147
13;02/2016;66
13;01/2016;13.189
13;12/2015;2.360
13;11/2015;3.765
13;10/2015;18.593
13;09/2015;13.498
13;08/2015;769
13;07/2015;226
13;06/2015;1.092
13;05/2015;15
13;04/2015;399
13;03/2015;76
13;02/2015;1.209
13;01/2015;6
13;12/2014;31
13;11/2014;342
13;10/2014;17
13;09/2014;325
13;08/2014;74
13;07/2014;9.976
13;06/2014;3.839
13;05/2014;3.709
13;04/2014;3.834
13;03/2014;6.007
13;02/2014;3.250
13;01/2014;2.392
