uf_ibge;Periodo;Quantidade de novas concessoes
27;02/2020;107
27;01/2020;111
27;12/2019;100
27;11/2019;138
27;10/2019;111
27;09/2019;106
27;08/2019;160
27;07/2019;66
27;06/2019;45
27;05/2019;5.096
27;04/2019;3.779
27;03/2019;4.137
27;02/2019;3.573
27;01/2019;4.824
27;12/2018;12.922
27;11/2018;6.654
27;10/2018;4.833
27;09/2018;5.720
27;08/2018;4.676
27;07/2018;6.111
27;06/2018;8.209
27;05/2018;6.028
27;04/2018;6.345
27;03/2018;4.005
27;02/2018;5.524
27;01/2018;4.781
27;12/2017;4.397
27;11/2017;8.634
27;10/2017;5.823
27;09/2017;5.236
27;08/2017;18.849
27;07/2017;2.791
27;06/2017;1.940
27;05/2017;495
27;04/2017;2.523
27;03/2017;29
27;02/2017;3.238
27;01/2017;10.006
27;12/2016;6.691
27;11/2016;2.074
27;10/2016;4.624
27;09/2016;17.209
27;08/2016;136
27;07/2016;3.864
27;06/2016;1.928
27;05/2016;67
27;04/2016;3.402
27;03/2016;5.443
27;02/2016;530
27;01/2016;13.705
27;12/2015;2.443
27;11/2015;7.063
27;10/2015;13.050
27;09/2015;7.885
27;08/2015;127
27;07/2015;32
27;06/2015;218
27;05/2015;13
27;04/2015;482
27;03/2015;25
27;02/2015;171
27;01/2015;12
27;12/2014;21
27;11/2014;163
27;10/2014;14
27;09/2014;86
27;08/2014;77
27;07/2014;11.056
27;06/2014;5.196
27;05/2014;3.644
27;04/2014;4.872
27;03/2014;11.094
27;02/2014;3.370
27;01/2014;1.096
