uf_ibge;Periodo;Quantidade de novas concessoes
31;02/2020;334
31;01/2020;17.393
31;12/2019;417
31;11/2019;427
31;10/2019;387
31;09/2019;342
31;08/2019;617
31;07/2019;177
31;06/2019;174
31;05/2019;23.536
31;04/2019;19.299
31;03/2019;19.102
31;02/2019;15.721
31;01/2019;18.851
31;12/2018;46.832
31;11/2018;25.582
31;10/2018;18.635
31;09/2018;19.977
31;08/2018;16.646
31;07/2018;19.981
31;06/2018;25.918
31;05/2018;22.718
31;04/2018;24.090
31;03/2018;16.230
31;02/2018;20.897
31;01/2018;18.174
31;12/2017;17.397
31;11/2017;31.050
31;10/2017;20.573
31;09/2017;18.610
31;08/2017;56.974
31;07/2017;20.374
31;06/2017;9.153
31;05/2017;5.337
31;04/2017;14.149
31;03/2017;76
31;02/2017;10.974
31;01/2017;29.422
31;12/2016;21.422
31;11/2016;10.700
31;10/2016;16.087
31;09/2016;52.831
31;08/2016;2.483
31;07/2016;28.981
31;06/2016;6.351
31;05/2016;374
31;04/2016;15.732
31;03/2016;17.897
31;02/2016;3.194
31;01/2016;30.643
31;12/2015;10.600
31;11/2015;23.265
31;10/2015;42.536
31;09/2015;34.237
31;08/2015;5.857
31;07/2015;14.361
31;06/2015;10.668
31;05/2015;89
31;04/2015;33.765
31;03/2015;194
31;02/2015;536
31;01/2015;28
31;12/2014;1.497
31;11/2014;6.973
31;10/2014;42
31;09/2014;184
31;08/2014;297
31;07/2014;24.134
31;06/2014;14.232
31;05/2014;13.036
31;04/2014;15.570
31;03/2014;23.986
31;02/2014;15.126
31;01/2014;8.702
